q,start,hl,as_sdt,as_ylo,as_yhi
0,Vulnerability detection,10,en,"0,5",2010,2021
1,Vulnerability detection,20,en,"0,5",2010,2021
2,Vulnerability detection,30,en,"0,5",2010,2021
3,Vulnerability detection,40,en,"0,5",2010,2021
4,Vulnerability detection,50,en,"0,5",2010,2021
5,Vulnerability detection,60,en,"0,5",2010,2021
6,Vulnerability detection,70,en,"0,5",2010,2021
7,Vulnerability detection,80,en,"0,5",2010,2021
8,Vulnerability detection,90,en,"0,5",2010,2021
9,Vulnerability detection,100,en,"0,5",2010,2021
10,Vulnerability detection,110,en,"0,5",2010,2021
11,Vulnerability detection,120,en,"0,5",2010,2021
12,Vulnerability detection,130,en,"0,5",2010,2021
13,Vulnerability detection,140,en,"0,5",2010,2021
14,Vulnerability detection,150,en,"0,5",2010,2021
15,Vulnerability detection,160,en,"0,5",2010,2021
16,Vulnerability detection,170,en,"0,5",2010,2021
17,Vulnerability detection,180,en,"0,5",2010,2021
18,Vulnerability detection,190,en,"0,5",2010,2021
19,Vulnerability detection,200,en,"0,5",2010,2021
20,Vulnerability detection,210,en,"0,5",2010,2021
21,Vulnerability detection,220,en,"0,5",2010,2021
22,Vulnerability detection,230,en,"0,5",2010,2021
23,Vulnerability detection,240,en,"0,5",2010,2021
24,Vulnerability detection,250,en,"0,5",2010,2021
25,Vulnerability detection,260,en,"0,5",2010,2021
26,Vulnerability detection,270,en,"0,5",2010,2021
27,Vulnerability detection,280,en,"0,5",2010,2021
28,Vulnerability detection,290,en,"0,5",2010,2021
29,Vulnerability detection,300,en,"0,5",2010,2021
30,Vulnerability detection,310,en,"0,5",2010,2021
31,Vulnerability detection,320,en,"0,5",2010,2021
32,Vulnerability detection,330,en,"0,5",2010,2021
33,Vulnerability detection,340,en,"0,5",2010,2021
34,Vulnerability detection,350,en,"0,5",2010,2021
35,Vulnerability detection,360,en,"0,5",2010,2021
36,Vulnerability detection,370,en,"0,5",2010,2021
37,Vulnerability detection,380,en,"0,5",2010,2021
38,Vulnerability detection,390,en,"0,5",2010,2021
39,Vulnerability detection,400,en,"0,5",2010,2021
40,Vulnerability detection,410,en,"0,5",2010,2021
41,Vulnerability detection,420,en,"0,5",2010,2021
42,Vulnerability detection,430,en,"0,5",2010,2021
43,Vulnerability detection,440,en,"0,5",2010,2021
44,Vulnerability detection,450,en,"0,5",2010,2021
45,Vulnerability detection,460,en,"0,5",2010,2021
46,Vulnerability detection,470,en,"0,5",2010,2021
47,Vulnerability detection,480,en,"0,5",2010,2021
48,Vulnerability detection,490,en,"0,5",2010,2021
49,Vulnerability detection,500,en,"0,5",2010,2021
50,Vulnerability detection,510,en,"0,5",2010,2021
51,Vulnerability detection,520,en,"0,5",2010,2021
52,Vulnerability detection,530,en,"0,5",2010,2021
53,Vulnerability detection,540,en,"0,5",2010,2021
54,Vulnerability detection,550,en,"0,5",2010,2021
55,Vulnerability detection,560,en,"0,5",2010,2021
56,Vulnerability detection,570,en,"0,5",2010,2021
57,Vulnerability detection,580,en,"0,5",2010,2021
58,Vulnerability detection,590,en,"0,5",2010,2021
59,Vulnerability detection,600,en,"0,5",2010,2021
60,Vulnerability detection,610,en,"0,5",2010,2021
61,Vulnerability detection,620,en,"0,5",2010,2021
62,Vulnerability detection,630,en,"0,5",2010,2021
63,Vulnerability detection,640,en,"0,5",2010,2021
64,Vulnerability detection,650,en,"0,5",2010,2021
65,Vulnerability detection,660,en,"0,5",2010,2021
66,Vulnerability detection,670,en,"0,5",2010,2021
67,Vulnerability detection,680,en,"0,5",2010,2021
68,Vulnerability detection,690,en,"0,5",2010,2021
69,Vulnerability detection,700,en,"0,5",2010,2021
70,Vulnerability detection,710,en,"0,5",2010,2021
71,Vulnerability detection,720,en,"0,5",2010,2021
72,Vulnerability detection,730,en,"0,5",2010,2021
73,Vulnerability detection,740,en,"0,5",2010,2021
74,Vulnerability detection,750,en,"0,5",2010,2021
75,Vulnerability detection,760,en,"0,5",2010,2021
76,Vulnerability detection,770,en,"0,5",2010,2021
77,Vulnerability detection,780,en,"0,5",2010,2021
78,Vulnerability detection,790,en,"0,5",2010,2021
79,Vulnerability detection,800,en,"0,5",2010,2021
80,Vulnerability detection,810,en,"0,5",2010,2021
81,Vulnerability detection,820,en,"0,5",2010,2021
82,Vulnerability detection,830,en,"0,5",2010,2021
83,Vulnerability detection,840,en,"0,5",2010,2021
84,Vulnerability detection,850,en,"0,5",2010,2021
85,Vulnerability detection,860,en,"0,5",2010,2021
86,Vulnerability detection,870,en,"0,5",2010,2021
87,Vulnerability detection,880,en,"0,5",2010,2021
88,Vulnerability detection,890,en,"0,5",2010,2021
89,Vulnerability detection,900,en,"0,5",2010,2021
90,Vulnerability detection,910,en,"0,5",2010,2021
91,Vulnerability detection,920,en,"0,5",2010,2021
92,Vulnerability detection,930,en,"0,5",2010,2021
93,Vulnerability detection,940,en,"0,5",2010,2021
94,Vulnerability detection,950,en,"0,5",2010,2021
95,Vulnerability detection,960,en,"0,5",2010,2021
96,Vulnerability detection,970,en,"0,5",2010,2021
97,Vulnerability detection,980,en,"0,5",2010,2021
98,Vulnerability detection,990,en,"0,5",2010,2021
