"['Vulcloud: Scalable and Hybrid Vulnerability Detection in Cloud Computing', '2013 IEEE Seventh International Conference on Software Security and Reliability Companion']"
"['Automatic Detection and Correction of Vulnerabilities using Machine Learning', '2017 International Conference on Current Trends in Computer, Electrical, Electronics and Communication (CTCEEC)']"
"['Agent-based ZeroLogon Vulnerability Detection', '2021 Wave Electronics and its Application in Information and Telecommunication Systems (WECONF)']"
"['Design and Implementation of Core Modules of WEB Application Vulnerability Detection Model', '2019 11th International Conference on Measuring Technology and Mechatronics Automation (ICMTMA)']"
"['Research on Linkage Model of Network Resource Survey and Vulnerability Detection in Power Information System', '2019 IEEE 3rd Information Technology, Networking, Electronic and Automation Control Conference (ITNEC)']"
"['Enhancing Network Security by Software Vulnerability Detection Using Social Media Analysis Extended Abstract', '2015 IEEE International Conference on Data Mining Workshop (ICDMW)']"
"['Research on software security vulnerability detection technology', 'Proceedings of 2011 International Conference on Computer Science and Network Technology']"
"['Detecting attacks leveraging vulnerabilities fixed in MS17-010 from Event Log', '2019 IEEE Conference on Application, Information and Network Security (AINS)']"
"['Vulnerability Detection on Android Apps–Inspired by Case Study on Vulnerability Related With Web Functions', 'IEEE Access']"
"['An Intelligent Communication Warning Vulnerability Detection Algorithm Based on IoT Technology', 'IEEE Access']"
"[""Vulnerability detection mechanism based on open API for multi-user's convenience"", '2016 International Conference on Information Networking (ICOIN)']"
"['A program vulnerabilities detection frame by static code analysis and model checking', '2011 IEEE 3rd International Conference on Communication Software and Networks']"
"['Detection of software vulnerabilities based on Fuzzing', 'International Conference on Cyberspace Technology (CCT 2013)']"
"['Intrusion detection systems vulnerability on adversarial examples', '2018 Innovations in Intelligent Systems and Applications (INISTA)']"
"['Project Achilles: A Prototype Tool for Static Method-Level Vulnerability Detection of Java Source Code Using a Recurrent Neural Network', '2019 34th IEEE/ACM International Conference on Automated Software Engineering Workshop (ASEW)']"
"['Current and Future Research of Machine Learning Based Vulnerability Detection', '2018 Eighth International Conference on Instrumentation & Measurement, Computer, Communication and Control (IMCCC)']"
"['iTES: Integrated Testing and Evaluation System for Software Vulnerability Detection Methods', '2020 IEEE 19th International Conference on Trust, Security and Privacy in Computing and Communications (TrustCom)']"
"['Vulnerability Detection of Android System in Fuzzing Cloud', '2013 IEEE Sixth International Conference on Cloud Computing']"
"['Techniques and Tools for Advanced Software Vulnerability Detection', '2020 IEEE International Symposium on Software Reliability Engineering Workshops (ISSREW)']"
"['Pangr: A Behavior-Based Automatic Vulnerability Detection and Exploitation Framework', '2018 17th IEEE International Conference On Trust, Security And Privacy In Computing And Communications/ 12th IEEE International Conference On Big Data Science And Engineering (TrustCom/BigDataSE)']"
"['A context-sensitive approach for precise detection of cross-site scripting vulnerabilities', '2014 10th International Conference on Innovations in Information Technology (IIT)']"
"['ISVSF: Intelligent Vulnerability Detection Against Java via Sentence-Level Pattern Exploring', 'IEEE Systems Journal']"
"['A memory-related vulnerability detection approach based on vulnerability features', 'Tsinghua Science and Technology']"
"['Dynamic taint analysis for vulnerability exploits detection', '2010 2nd International Conference on Computer Engineering and Technology']"
"['PHP vulnerability detection based on taint analysis', '2017 6th International Conference on Reliability, Infocom Technologies and Optimization (Trends and Future Directions) (ICRITO)']"
"['Research on Detection Method of Wireless Communication Network Security Vulnerability Based on Sequence Model', '2021 13th International Conference on Measuring Technology and Mechatronics Automation (ICMTMA)']"
"['Automation of detection of security vulnerabilities in web services using dynamic analysis', 'The 9th International Conference for Internet Technology and Secured Transactions (ICITST-2014)']"
"['Research of intrusion detection system based on vulnerability scanner', '2010 2nd International Conference on Advanced Computer Control']"
"['Detection about vulnerabilities and malicious codes for legacy BIOS', '2010 Second International Conference on Communication Systems, Networks and Applications']"
"['Vulnerability Assessment for Machine Learning Based Network Anomaly Detection System', '2020 IEEE International Conference on Consumer Electronics - Taiwan (ICCE-Taiwan)']"
"['An Empirical Study of High-Impact Factors for Machine Learning-Based Vulnerability Detection', '2020 IEEE 2nd International Workshop on Intelligent Bug Fixing (IBF)']"
"['Combining Graph-Based Learning With Automated Data Collection for Code Vulnerability Detection', 'IEEE Transactions on Information Forensics and Security']"
"['Design of automatic vulnerability detection system for Web application program', '2013 IEEE 4th International Conference on Software Engineering and Service Science']"
"['Coverage Metrics and Detection of Injection Vulnerabilities: An Experimental Study', '2016 12th European Dependable Computing Conference (EDCC)']"
"['An approach to minimize false positive in SQLI vulnerabilities detection techniques through data mining', '2014 International Conference on Signal Propagation and Computer Technology (ICSPCT 2014)']"
"['MARVEL: A Generic, Scalable and Effective Vulnerability Detection Platform', '2019 IEEE/ACM 41st International Conference on Software Engineering: Companion Proceedings (ICSE-Companion)']"
"['Detection of coverage vulnerability boundary in wireless sensor networks based on improved DV-Hop algorithm', '2020 International Conference on Robots & Intelligent System (ICRIS)']"
"['Staged Method of Code Similarity Analysis for Firmware Vulnerability Detection', 'IEEE Access']"
"['Preventing input type validation vulnerabilities using network based intrusion detection systems', '2014 International Conference on Contemporary Computing and Informatics (IC3I)']"
"['On the Metrics for Benchmarking Vulnerability Detection Tools', '2015 45th Annual IEEE/IFIP International Conference on Dependable Systems and Networks']"
"['Analysis of web application security mechanism and Attack Detection using Vulnerability injection technique', '2016 International Conference on Computing Communication Control and automation (ICCUBEA)']"
"['Vulnerability detection towards protecting intrusion by Social Network Analysis approach', '2021 5th International Conference on Trends in Electronics and Informatics (ICOEI)']"
"['Representation vs. Model: What Matters Most for Source Code Vulnerability Detection', '2021 IEEE International Conference on Software Analysis, Evolution and Reengineering (SANER)']"
"['A Survey of Exploitation and Detection Methods of XSS Vulnerabilities', 'IEEE Access']"
"['Two-Level Algebraic Method for Detection of Vulnerabilities in Binary Code', '2019 10th IEEE International Conference on Intelligent Data Acquisition and Advanced Computing Systems: Technology and Applications (IDAACS)']"
"['Vulnerability Analysis of Instructions for SDC-Causing Error Detection', 'IEEE Access']"
"['Network risk evaluation from security metric of vulnerability detection tools', 'TENCON 2014 - 2014 IEEE Region 10 Conference']"
"['AVDHRAM: Automated Vulnerability Detection based on Hierarchical Representation and Attention Mechanism', '2020 IEEE Intl Conf on Parallel & Distributed Processing with Applications, Big Data & Cloud Computing, Sustainable Computing & Communications, Social Computing & Networking (ISPA/BDCloud/SocialCom/SustainCom)']"
"['Research on Web Application Security Vulnerability Scanning Technology', '2019 IEEE 4th Advanced Information Technology, Electronic and Automation Control Conference (IAEAC)']"
"['The Coming Era of AlphaHacking?: A Survey of Automatic Software Vulnerability Detection, Exploitation and Patching Techniques', '2018 IEEE Third International Conference on Data Science in Cyberspace (DSC)']"
"['A cost-effective approach to evaluating security vulnerability scanner', '2013 15th Asia-Pacific Network Operations and Management Symposium (APNOMS)']"
"['Research on Dynamic Detection Method of Buffer Overflow Vulnerabilities Based on Complete Boundary Test', '2020 IEEE 6th International Conference on Computer and Communications (ICCC)']"
"['A Study on Container Vulnerability Exploit Detection', '2019 IEEE International Conference on Cloud Engineering (IC2E)']"
"['Towards a Deep Learning Model for Vulnerability Detection on Web Application Variants', '2020 IEEE International Conference on Software Testing, Verification and Validation Workshops (ICSTW)']"
"['A vulnerability scanning tool for session management vulnerabilities', '2014 International Conference on Data and Software Engineering (ICODSE)']"
"['Detection and Removing Cross Site Scripting Vulnerability in PHP Web Application', '2017 International Conference on Promising Electronic Technologies (ICPET)']"
"['Detection & prevention of website vulnerabilities: Current scenario and future trends', '2017 2nd International Conference on Communication and Electronics Systems (ICCES)']"
"['Towards a Hybrid Framework for Detecting Input Manipulation Vulnerabilities', '2013 20th Asia-Pacific Software Engineering Conference (APSEC)']"
"['VFDETECT: A vulnerable code clone detection system based on vulnerability fingerprint', '2017 IEEE 3rd Information Technology and Mechatronics Engineering Conference (ITOEC)']"
"['Source Code Vulnerabilities Detection Using Loosely Coupled Data and Control Flows', '2019 21st International Symposium on Symbolic and Numeric Algorithms for Scientific Computing (SYNASC)']"
"['EMV cards vulnerabilities detection using ANN', '2016 International Conference on Information Technology for Organizations Development (IT4OD)']"
"['Assessing and Comparing Vulnerability Detection Tools for Web Services: Benchmarking Approach and Examples', 'IEEE Transactions on Services Computing']"
"['WAVE: Black Box Detection of XSS, CSRF and Information Leakage Vulnerabilities', '2017 14th International ISC (Iranian Society of Cryptology) Conference on Information Security and Cryptology (ISCISC)']"
"['Botnet Vulnerability Intelligence Clustering Classification Mining and Countermeasure Algorithm Based on Machine Learning', 'IEEE Access']"
"['Detection of web appication vulnerability based on RUP model', '2015 National Conference on Recent Advances in Electronics & Computer Engineering (RAECE)']"
"['Vulnerability detector using parse tree annotation', '2010 2nd International Conference on Education Technology and Computer']"
"['Static Detection of Control-Flow-Related Vulnerabilities Using Graph Embedding', '2019 24th International Conference on Engineering of Complex Computer Systems (ICECCS)']"
"['Research on Mobile Application Local Denial of Service Vulnerability Detection Technology Based on Rule Matching', '2019 IEEE International Conference on Energy Internet (ICEI)']"
"['A Static Taint Detection Method for Stack Overflow Vulnerabilities in Binaries', '2017 4th International Conference on Information Science and Control Engineering (ICISCE)']"
"['A New Detection Method for Stack Overflow Vulnerability Based on Component Binary Code for Third-Party Component', '2018 IEEE SmartWorld, Ubiquitous Intelligence & Computing, Advanced & Trusted Computing, Scalable Computing & Communications, Cloud & Big Data Computing, Internet of People and Smart City Innovation (SmartWorld/SCALCOM/UIC/ATC/CBDCom/IOP/SCI)']"
"['Vulnerability Detection for Smart Grid Devices via Static Analysis', '2019 Chinese Control Conference (CCC)']"
"['Detection technology of scripting attack of network device based on vulnerability modeling', '2015 5th International Conference on Information Science and Technology (ICIST)']"
"['Combining Graph Neural Networks with Expert Knowledge for Smart Contract Vulnerability Detection', 'IEEE Transactions on Knowledge and Data Engineering']"
"['A Comparative Study of Deep Learning-Based Vulnerability Detection System', 'IEEE Access']"
"['Detecting Android Security Vulnerabilities Using Machine Learning and System Calls Analysis', '2019 IEEE 19th International Conference on Software Quality, Reliability and Security Companion (QRS-C)']"
"['Poster: Static Detection of API Call Vulnerabilities in iOS Executables', '2018 IEEE/ACM 40th International Conference on Software Engineering: Companion (ICSE-Companion)']"
"['Memory corruption vulnerabilities detection for Android binary software', '2015 IEEE International Conference on Signal Processing, Communications and Computing (ICSPCC)']"
"['Early Detection of Vulnerabilities from News Websites using Machine Learning Models', '2020 19th RoEduNet Conference: Networking in Education and Research (RoEduNet)']"
"['Explainable Software vulnerability detection based on Attention-based Bidirectional Recurrent Neural Networks', '2020 IEEE International Conference on Big Data (Big Data)']"
"['Benchmarking Vulnerability Detection Tools for Web Services', '2010 IEEE International Conference on Web Services']"
"['JIID: Java input injection detector for pre-deployment vulnerability detection', '2015 IEEE International Conference on Research in Computational Intelligence and Communication Networks (ICRCICN)']"
"['Secure Codecity with Evolution: Visualizing Security Vulnerability Evolution of Software Systems', '2020 20th International Conference on Advances in ICT for Emerging Regions (ICTer)']"
"['An Automated Composite Scanning Tool with Multiple Vulnerabilities', '2019 IEEE 3rd Advanced Information Management, Communicates, Electronic and Automation Control Conference (IMCEC)']"
"['Predicting common web application vulnerabilities from input validation and sanitization code patterns', '2012 Proceedings of the 27th IEEE/ACM International Conference on Automated Software Engineering']"
"['Graph Neural Network-based Vulnerability Predication', '2020 IEEE International Conference on Software Maintenance and Evolution (ICSME)']"
"['A Novel Vulnerability Detection Method for ZigBee MAC Layer', '2014 IEEE 12th International Conference on Dependable, Autonomic and Secure Computing']"
"['A new way of MMS vulnerability detection based on virtual machine', '2010 2nd International Conference on Computer Engineering and Technology']"
"['Tutorial: DeepState: Bringing Vulnerability Detection Tools into the Development Cycle', '2018 IEEE Cybersecurity Development (SecDev)']"
"['Algebraic Patterns of Vulnerabilities in Binary Code', '2019 10th International Conference on Dependable Systems, Services and Technologies (DESSERT)']"
"['A new method to construct the software vulnerability model', '2017 2nd IEEE International Conference on Computational Intelligence and Applications (ICCIA)']"
"[""Beware of the Vulnerability! How Vulnerable are GitHub's Most Popular PHP Applications?"", '2019 IEEE/ACS 16th International Conference on Computer Systems and Applications (AICCSA)']"
"['Why Securing Your Code Architecture: Detection of Architectural Vulnerabilities in Industrial Products', '2017 IEEE International Symposium on Software Reliability Engineering Workshops (ISSREW)']"
"['Assisting Vulnerability Detection by Prioritizing Crashes with Incremental Learning', 'TENCON 2018 - 2018 IEEE Region 10 Conference']"
"['Scalable Static Detection of Use-After-Free Vulnerabilities in Binary Code', 'IEEE Access']"
"['Hardening the Core: Understanding and Detection of XNU Kernel Vulnerabilities', '2018 48th Annual IEEE/IFIP International Conference on Dependable Systems and Networks Workshops (DSN-W)']"
"['Vulnerability Analysis and Modeling', '2019 IEEE 10th Annual Ubiquitous Computing, Electronics & Mobile Communication Conference (UEMCON)']"
"['DeepBalance: Deep-Learning and Fuzzy Oversampling for Vulnerability Detection', 'IEEE Transactions on Fuzzy Systems']"
"['When Do Changes Induce Software Vulnerabilities?', '2017 IEEE 3rd International Conference on Collaboration and Internet Computing (CIC)']"
"['A Survey on Vulnerability Detection Tools of Smart Contract Bytecode', '2020 IEEE 3rd International Conference on Information Systems and Computer Aided Education (ICISCAE)']"
"['Formulation of SQL Injection Vulnerability Detection as Grammar Reachability Problem', '2018 International Conference on Information and Communication Technology for the Muslim World (ICT4M)']"
"['Vulcloud: Scalable and Hybrid Vulnerability Detection in Cloud Computing', '2013 IEEE Seventh International Conference on Software Security and Reliability Companion']"
"['Automatic Detection and Correction of Vulnerabilities using Machine Learning', '2017 International Conference on Current Trends in Computer, Electrical, Electronics and Communication (CTCEEC)']"
"['Agent-based ZeroLogon Vulnerability Detection', '2021 Wave Electronics and its Application in Information and Telecommunication Systems (WECONF)']"
"['Design and Implementation of Core Modules of WEB Application Vulnerability Detection Model', '2019 11th International Conference on Measuring Technology and Mechatronics Automation (ICMTMA)']"
"['Research on Linkage Model of Network Resource Survey and Vulnerability Detection in Power Information System', '2019 IEEE 3rd Information Technology, Networking, Electronic and Automation Control Conference (ITNEC)']"
"['Enhancing Network Security by Software Vulnerability Detection Using Social Media Analysis Extended Abstract', '2015 IEEE International Conference on Data Mining Workshop (ICDMW)']"
"['Research on software security vulnerability detection technology', 'Proceedings of 2011 International Conference on Computer Science and Network Technology']"
"['Detecting attacks leveraging vulnerabilities fixed in MS17-010 from Event Log', '2019 IEEE Conference on Application, Information and Network Security (AINS)']"
"['Vulnerability Detection on Android Apps–Inspired by Case Study on Vulnerability Related With Web Functions', 'IEEE Access']"
"['An Intelligent Communication Warning Vulnerability Detection Algorithm Based on IoT Technology', 'IEEE Access']"
"[""Vulnerability detection mechanism based on open API for multi-user's convenience"", '2016 International Conference on Information Networking (ICOIN)']"
"['A program vulnerabilities detection frame by static code analysis and model checking', '2011 IEEE 3rd International Conference on Communication Software and Networks']"
