"['VDSimilar: Vulnerability detection based on code similarity of vulnerabilities and patches', 'sciencedirect']"
"['The rise of software vulnerability: Taxonomy of software vulnerabilities detection and machine learning approaches', 'sciencedirect']"
"['HAN-BSVD: A hierarchical attention network for binary software vulnerability detection', 'sciencedirect']"
"['The impact factors on the performance of machine learning-based vulnerability detection: A comparative study', 'sciencedirect']"
"['BVDetector: A program slice-based binary code vulnerability intelligent detection system', 'sciencedirect']"
"['A data-driven approach to anomaly detection and vulnerability dynamic analysis for large-scale integrated energy systems', 'sciencedirect']"
"['Accelerating hardware security verification and vulnerability detection through state space reduction', 'sciencedirect']"
"['ConGradetect: Blockchain-based detection of code and identity privacy vulnerabilities in crowdsourcing', 'sciencedirect']"
"['NodeXP: NOde.js server-side JavaScript injection vulnerability DEtection and eXPloitation', 'sciencedirect']"
"['Targeted non-invasive bioindicator species detection in eDNA water samples to assess and monitor the integrity of vulnerable alpine freshwater environments', 'sciencedirect']"
"['Data sequence signal manipulation in multipath TCP (MPTCP): The vulnerability, attack and its detection', 'sciencedirect']"
"['An automated deep learning based anomaly detection in pedestrian walkways for vulnerable road users safety', 'sciencedirect']"
"['Vulnerable objects detection for autonomous driving: A review', 'sciencedirect']"
"['Vulnerable community identification using hate speech detection on social media', 'sciencedirect']"
"['A framework for zero-day vulnerabilities detection and prioritization', 'sciencedirect']"
"['Macrophage-targeted, enzyme-triggered fluorescence switch-on system for detection of embolism-vulnerable atherosclerotic plaques', 'sciencedirect']"
"['Driver’s emotional state and detection of vulnerable road users: Towards a better understanding of how emotions affect drivers’ perception using cardiac and ocular metrics', 'sciencedirect']"
"['Exploring context-sensitive data flow analysis for early vulnerability detection', 'sciencedirect']"
"['Towards designing an extendable vulnerability detection method for executable codes', 'sciencedirect']"
"['Spatiotemporal analysis of water resources system vulnerability in the Lancang River Basin, China', 'sciencedirect']"
"['Review of vulnerability indicators for fire risk assessment in cultural heritage', 'sciencedirect']"
"['Assessing vulnerability to psychological distress during the COVID-19 pandemic through the analysis of microblogging content', 'sciencedirect']"
"['Fraud vulnerability quantitative assessment of Wuchang rice industrial chain in China based on AHP-EWM and ANN methods', 'sciencedirect']"
"['Integrating remote sensing with swarm intelligence and artificial intelligence for modelling wetland habitat vulnerability in pursuance of damming', 'sciencedirect']"
"['Food fraud vulnerability assessment: Towards a global consensus on procedures to manage and mitigate food fraud', 'sciencedirect']"
"['Neural software vulnerability analysis using rich intermediate graph representations of programs', 'sciencedirect']"
"['Identifying vulnerability in police custody: Making sense of information provided to custody officers', 'sciencedirect']"
"['Food fraud: Assessing fraud vulnerability in the extra virgin olive oil supply chain', 'sciencedirect']"
